player,str
Alexandre Locci,0.188
Robin Lesage,0.188
Christopher Egan-Morriss,0.187
Connor Farren,0.184
Robert Lindgren,0.179
Garrett Gordon,0.178
Tucker Saxon,0.178
Georg Lundkvist,0.166
Austin Blake,0.165
Hector Ramirez,0.163
Hudson Blake,0.163
Alec Josepher,0.163
Cameron Tehrani,0.162
Kyle Hoffman,0.161
Chris Fletcher,0.160
Michael Sinha,0.160
JB Gough,0.155
Jack Swindells,0.153
Maros Januvka,0.153
Vuk Subotic,0.153
Jeandre Hoogenboezem,0.152
Eric Rubin,0.152
Olivier Gingras,0.152
Nathan de Veer,0.151
Michael Birnbaum,0.150
Grigory Trotsenko,0.147
Ron Verano,0.134
Miguel Negre Fernandez,0.131
Michael Chen,0.129
David Sklar,0.126
Andrew DeJoy,0.123
Jake Norman,0.120
Jonas Meinzer,0.117
Vidit Vaghela,0.116
Benjamin Kaszas,0.111
Sebastian Ionescu,0.110
Alexandre Felisa,0.110
Matt Cowley,0.109
Kent Mukai,0.105
Kai Wehnelt,0.105
Everth Dzib,0.104
Brian Hickey,0.103
Matt Sweet,0.096
Amaury Navette,0.092
Hunter Whalen,0.091
Chase Gordon,0.090
Shakeel Manji,0.088
Carter Lam,0.088
Jack Riazzi,0.086
Kyle Chalmers,0.083
Brendan Dempsey,0.082
Stefan Cooper,0.081
Youssef Hassan,0.076
Robert Dudley,0.070
Juan Sheppard,0.069
Stefan Lugonjic,0.067
Jose Morales,0.066
Sam Jang-Milsten,0.060
Kyle Johnson,0.059
Ashwin Sharma,0.056
Greg Shannon,0.055
David Schenk,0.054
Austin Russell,0.054
Jason Brown,0.052
Thomas Panoulas,0.052
Hamza Laalej,0.049
Julien Philippe,0.041
Chris Perrigan,0.040
Daniel Faierman,0.040
Eric Fitz-Randolph,0.038
Josip Smoljan,0.035
Reid Delaubenfels,0.035
Walner Espinoza,0.032
Jack Desse,0.020
Tom Hjertonsson,0.015
Brian Kowalski,0.013
Chris Seitz,0.008
Scott Huang,0.006
Wyatt Lovera,-0.005
Ali Shabib,-0.007
Quinn Dippel,-0.007
Max Olson,-0.007
Arthur Dobradin,-0.008
Joaquin Marquez,-0.009
Colin Roller,-0.009
Michael Dube,-0.010
Luiz Pinto,-0.018
Jack Haworth,-0.019
Luke Bohuslav,-0.020
Frankie Colunga,-0.023
Conner Huertas,-0.029
Juuso Laitinen,-0.035
Kester Black,-0.036
Hank Workman,-0.038
Austin McCasin,-0.045
David Doehring,-0.045
Vasili Caripi,-0.048
Patryk Koscielski,-0.052
Ernest Alberch,-0.055
Bradley Orban,-0.057
Lucas Lesoeur,-0.066
John Patrick Mullane,-0.068
Walker Sims,-0.076
Fares Kilani,-0.079
Mark Ginting,-0.079
Zachary Yablon,-0.080
Danny Bruce,-0.083
Andrew Ball,-0.083
Jeremy Bourgeois,-0.087
Jacob Lagman,-0.090
Harrison McCormick,-0.096
Michiel Meekers,-0.097
Richard Meade,-0.101
Joseph Cohen,-0.106
Gonzalo Garcia,-0.111
Stefan Rhodes,-0.112
Andrew Harrington,-0.119
Philippe Courteau,-0.124
Niclas Genovese,-0.125
Jack Maddocks,-0.133
Nicklas Wingord,-0.133
Akhil Mehta,-0.133
Chas Okamoto,-0.136
Jacob Whalley,-0.141
James Markiewicz,-0.144
Greg Olesnycky,-0.151
Brandon Jackson,-0.151
Joao Riquelme,-0.154
Michael Nguyen,-0.159
Fedor Andrienko,-0.164
Eduardo Landin,-0.164
Martin Muadi,-0.164
Daniil Ivanov,-0.166
Cahit Kapukiran,-0.168
Jesse Ross,-0.170
Brandon Fickey,-0.172
Ian Van Cott,-0.175
Tristan Boustany,-0.178
Mirko Radosevic,-0.179
Peter Nagovnak,-0.182
Nicolas Paulus,-0.188
Julio Olaya,-0.190
Mile Cilic,-0.193
Andrew Riminton,-0.197
Joseph Dube,-0.198
Renan Hanayama,-0.205
Renan Samed,-0.205
Kei Ezaka,-0.207
Nile Clark,-0.210
Jamie Yates,-0.216
Tarun Surat,-0.221
Damien David,-0.229
Jan-Willem Feilzer,-0.230
Tomsz Soltyka,-0.231
Will Juggins,-0.239
Kyle Childree,-0.243
Diego Nunez,-0.246
Tendai Tapfuma,-0.250
Alex Alvaro,-0.256
Chester Espie,-0.257
Felix Schumann,-0.257
Diogo Soares,-0.260
Jack Thomas,-0.263
Federico Ruiz,-0.265
Kevin Bondar,-0.271
Leonard Gerch,-0.272
Juan Marino,-0.273
Andrey Smirnov,-0.274
Christos Hadjigeorgiou,-0.275
Jasper Koenen,-0.277
Jody Maginley,-0.288
Coleman Wahlborg,-0.290
Andy Druffel,-0.293
Kasey Countee,-0.295
Jac Newis,-0.299
Manuel de Luis,-0.303
Ramon van Flymen,-0.303
Christian Carrillo,-0.307
Christofer Goncalves,-0.314
Michael Savaglio,-0.321
Alexander Gitin,-0.324
Partha Adovelly,-0.325
Steven Patrick,-0.327
Adi Zilberstein,-0.327
Mitchell Martell,-0.327
Alfonso Castellano,-0.330
Jacob Daugherty,-0.333
Dylan Steffens,-0.334
Joshua Swindler,-0.339
Silviu Mistreanu,-0.344
Liam Goldberg,-0.367
Daniel Khanin,-0.371
Mateo DeSomocurcio,-0.371
Andrew Gong,-0.376
Tucker Brown,-0.379
Ricardo Pineda,-0.379
Meidy Chazeau,-0.384
Stjepan Cagalj,-0.385
Alejandro Gomez Estrada,-0.387
Inaki Belloso,-0.388
Felipe Jaworski,-0.394
Thomas Hunt,-0.404
Viktor Selander,-0.413
Austin Woldmoe,-0.414
Sam Meessen,-0.418
Jim Beckwith,-0.421
Alexander Lykou,-0.426
Will Huyton,-0.431
Mario Sandoval,-0.432
Alex Doleac,-0.434
Anderson Scarpa,-0.440
Alexander Fahnehjelm,-0.442
Jacob Wilson,-0.445
Matthew Krizinger,-0.446
Will Kneale,-0.447
Louie Theodor,-0.447
MJ Every,-0.448
Josh Luck,-0.448
Jack Williams,-0.452
Gonzalo Arroyo-Baudet,-0.456
Michal Rolski,-0.456
David Raymond,-0.466
Mike Psarros,-0.468
Kevin Daun,-0.475
Alex Bourgeois,-0.475
Andres Urrea,-0.482
Jerome Kirkland,-0.483
Artur Culicovschi,-0.488
Hector Martinez,-0.490
Eric Spence,-0.495
Francesc Terns-Campius,-0.498
Harry James,-0.499
Karl Wangensten-Oye,-0.502
Mitchell Petersen,-0.503
Jimmy Lange,-0.506
Nika Dolidze,-0.506
Sergiu Muresan,-0.507
Josh Maylon,-0.508
Jose Calero,-0.509
Juan Troglia,-0.513
Alan Pleat,-0.513
Bartosz Sawicki,-0.517
Evan Karatzas,-0.522
Corey Robinson,-0.523
Will Turner,-0.525
Aaron Farmer,-0.526
David Ferragut,-0.526
Jake Faundez,-0.528
Trey Daniel,-0.529
Alec Miller,-0.530
Bernardo Oliveira,-0.541
Preston Touliatos,-0.548
Graham Ball,-0.550
Andrey Majkic,-0.559
Philip Nelson,-0.561
Jean-Marc Krone,-0.565
Elliott Baker,-0.565
Bjorn Scheepbouwer,-0.567
Alex Roggenkamp,-0.569
Ethan Lopez,-0.573
Vlad Kramarov,-0.576
Josh Kliger,-0.577
Tanner Baine,-0.577
Sean Bacha,-0.577
Will Drumwright,-0.578
Ignacio Garrido,-0.579
Mark Kite,-0.580
David Ogan,-0.585
Sam Kellett,-0.585
Chris Reynolds,-0.589
Jeffrey Melvin,-0.589
Courage Okungbowa,-0.589
Andrew Parks,-0.598
Toni Battle,-0.603
Myles Harris,-0.606
Strahinja Trecakov,-0.611
Alexander Chepik,-0.613
Greg Almeida,-0.615
Alex Koca,-0.615
Lucas Fumagalli,-0.618
Woravin Kumthonkittikul,-0.622
Porter Myrick,-0.622
Ulrick Boyoguena,-0.623
Sergio Chip,-0.625
Philip Kuehnen,-0.627
R.J. Del Nunzio,-0.635
Robin Demasse,-0.639
Kyle Alper,-0.644
Colin Wong,-0.645
Stefan Farrar,-0.645
Jose Carranza,-0.645
Parker Lawley,-0.650
Peter Greteman,-0.657
Christian Vieira,-0.661
Juan Calero,-0.665
Robert Margitfalvi,-0.667
Korhan Ates,-0.668
Nicolas Vincent,-0.673
Justin Chanthalangsy,-0.673
Lukas Clemens,-0.676
Marlon Brand,-0.686
Yaroslav Prostakov,-0.687
Will Kwok,-0.699
Canyon Teague,-0.700
Pedro Leme,-0.701
Caison Best,-0.702
Timo Tanzer,-0.705
William Albright,-0.708
Mikko Rajamaki,-0.715
Karl Enander,-0.722
Nico De Groof,-0.734
Reece Acree,-0.734
Andrea Boglic,-0.737
Jorge Alfonzo,-0.740
John Giakoumakis,-0.740
Joao Almeida,-0.745
Matt Lynch,-0.746
Joel Roberts,-0.749
Collin Rigney,-0.755
Jonas Kuwert,-0.761
Adrian Isache,-0.761
Nicholas Carpenter,-0.761
Khalil Naji,-0.762
Jan Penhec,-0.763
Gabriel Chavas Araujo,-0.765
Stephen Payne,-0.767
James Ponwith,-0.770
Marek Marksoo,-0.775
Santiago Cevallos,-0.778
Tyler Hansen,-0.779
Brandon Woods,-0.783
Brett Moorhead,-0.805
Aaron Capitel,-0.805
Antonio Pajic,-0.807
Andre Romanello,-0.820
Nikita Kostikov,-0.821
Marcos Rocca,-0.822
Drew Blair,-0.829
Pablo Colvee,-0.830
Ernesto Santillan,-0.830
Wil Martin,-0.837
Stefan Williams,-0.847
Taylor Cramer,-0.848
Nick Bradley,-0.853
Lukas Luckemeier,-0.855
Daniel Echeverry,-0.857
Jan-Willem Kleynhans,-0.857
Kevin Gonzalez,-0.858
Jonathan O'Neal,-0.858
Jonas Stropus,-0.859
Alex Hagermoser,-0.861
Alejandro Capdequi,-0.865
Daniel Hernandez,-0.868
Janken Thoen,-0.870
Alexander Santiago,-0.870
Carl Jedlinski,-0.871
Connor Pietrak,-0.872
Sergio Arevalillo,-0.880
Alex Pozo,-0.881
Ofir Solomon,-0.882
Steve Murray,-0.883
Gagan Jain,-0.885
Gaston Murray,-0.885
Dutin Britton,-0.894
Louis Asser,-0.895
Mathias Chaim,-0.899
Hou-en Chen,-0.899
Luke Adamus,-0.900
Parks Schoen,-0.901
Benjamin Gilman,-0.904
Simon Jayaram,-0.905
Blake Daniel,-0.905
Adam Gage-Brown,-0.906
Zachary Bost,-0.907
Brian Nguyen,-0.913
Urh Krajnc Domiter,-0.913
Jorge Gonzalez Soler,-0.914
Thomas Pecor,-0.917
Conner Edwards,-0.917
Ben Gendron,-0.918
Brent Chin,-0.930
Alvaro Cintas,-0.934
Gleb Skylr,-0.937
Nic Wilson,-0.937
Trevor James,-0.941
Treajh Ferguson,-0.941
Andrew Ong,-0.941
Jose Moreno Manzano,-0.942
Drew Wendel,-0.948
Matt Bishop,-0.949
Semion Branzburg,-0.952
Manuel Montenegro,-0.952
Luke Saunders,-0.956
Aidan Saggers,-0.960
Alon Faiman,-0.965
Damien Brenard,-0.967
Tom Wittiveen,-0.968
Fredric Lehfeldt,-0.969
Arnaud Valentin,-0.979
Edgar Diaz,-0.981
Elmar Lutz,-0.985
Joel Jones,-0.986
Giacomo Adoncecchi,-0.987
Uldis Gaismins,-0.995
Nate Chart,-0.998
Ricardo Pabon,-0.998
Dimitris Stavropoulos,-1.002
Alec Dylan Foo-Kune,-1.003
Alex Pasareanu,-1.007
Cyprian Owczarz,-1.008
Hawkins Owens,-1.013
Santiago Canete,-1.016
Sean Robles,-1.016
Jordan Szabo,-1.022
Chris Humphreys,-1.023
Quoc-Daniel Nguyen,-1.031
Colin Nardella,-1.036
Connor LaFavre,-1.041
Michael Sosnowski,-1.045
Santiago Sierra,-1.047
Daniel Cardenas,-1.048
Garrett Mandrell,-1.052
Warren Bryan,-1.052
Marshall Sharp,-1.056
Steven McMullan,-1.064
Tomas Hons,-1.066
Matthew Campana,-1.078
Adam Levi,-1.079
Tyler Pate,-1.088
Marcel Chan,-1.089
Stephen Washuta,-1.097
Shao-Po Yin,-1.100
Marco Bensley,-1.106
Ethan Bogard,-1.107
Zach Fryer,-1.109
Samuel Bloore,-1.116
Oliver Welsh,-1.123
Alekander Stupar,-1.126
Eldred Stephens,-1.126
Marco Lam,-1.136
Aaron Chalstrom,-1.136
Aidan Koross,-1.138
Carl Hedstrom,-1.141
Jakob Keppelmann,-1.142
Henrique Pereira,-1.144
Josh Martin,-1.145
Kellen Bates,-1.155
Ayman Abdulwahab,-1.156
Trey Morris,-1.156
Mitch Maroscher,-1.171
Adam Zaorski,-1.171
Connor Andrews,-1.173
Parker Goldstein,-1.176
Kevin Deligny,-1.180
Luke Roser,-1.182
Marthinus Visser,-1.182
Riley Newman,-1.183
Dylan Harvala,-1.189
Biyik Akinshemoyin,-1.193
Brandon Mills,-1.194
Max Sinn,-1.197
Daniel Strawn,-1.198
Shane Korber,-1.201
Ruben Franzanti,-1.201
Juanjo de la Llera,-1.206
David Vieyra,-1.209
Tyler Hoffman,-1.212
Richard Rangga,-1.216
Samuel Taylor,-1.216
Ryan Foster,-1.221
Stanislav Baco,-1.225
Ransom Braaten,-1.226
Tucker Massie,-1.228
Alex Hahn,-1.229
Florian Graskamp,-1.234
Oliver Snaider,-1.240
Jake Hirschberg,-1.241
Nico Kuehn,-1.242
Stepan Vancurik,-1.243
Alexander Kokorev,-1.245
Ozzy Abraham,-1.259
Conor Mullins,-1.263
Connor Finerty,-1.263
Dan Koehler,-1.265
Kacper Stelmaszak,-1.266
Ricky Hendler,-1.274
Oliver Dufour-Coursol,-1.275
Ryan Khan,-1.283
Victor Blasco,-1.286
David Beasley,-1.286
Christian Kerrigan,-1.296
Alvaro Barrera,-1.298
Tom Miller,-1.305
Alex Giannini,-1.307
Sebastian Penalosa,-1.307
Kelvin Lam,-1.308
Gavin Lewis,-1.313
A. Rahman,-1.314
Chris Essick,-1.315
Oleg Drobysh,-1.316
Brett Landau,-1.317
Justin Agbayani,-1.318
Cody Miller,-1.320
Alex Pavel,-1.329
Nick Lamart,-1.329
Michael Moe,-1.336
Mitchel Knight,-1.338
Daniel Gilbert,-1.345
Sabastian Penalosa,-1.350
Eric Ambrosio,-1.363
Felix Andre,-1.373
Jonathan Quenard,-1.375
Felipe Diaz,-1.376
Alex Fioravante,-1.381
Aidan McNulty,-1.382
Ryan Kum,-1.382
Lucas Waak,-1.384
Omar Espinosa,-1.387
Marten Jonsson,-1.390
Blest Jones,-1.390
Pulok Bhattacharya,-1.393
Elliott Yee,-1.401
Colton Buffington,-1.406
Jan Cimrman,-1.406
Pablo Mora,-1.410
Joe Lee,-1.411
Jesse Ruder-Hook,-1.411
Manuel Castellanos,-1.414
Victor Pereira,-1.415
Chance Conley,-1.416
Vineet Naran,-1.420
Takura Mlambo,-1.420
Matteo Giudici,-1.423
Eden Peleg,-1.426
Diego Garavito,-1.426
K. Davis,-1.436
Christoph Haertel,-1.449
Nick Mercer,-1.454
Joe Hill,-1.454
Kula Companion,-1.461
Lovro Curcija,-1.464
Jack Petersen,-1.466
Nicholas Gonzalez,-1.470
Will Topp,-1.472
Ryan Hoverson,-1.472
Matt Bennion,-1.477
Dylan Trent,-1.481
Andrew Connolly,-1.484
Mac Rechan,-1.485
Adam Coyne,-1.499
Dillon Launius,-1.504
Tristan Houle,-1.510
Joseph Bishop,-1.515
Kijontray McClay,-1.515
Daniel Merker,-1.524
Stefan Lemire,-1.527
Luke Lorenz,-1.531
Artem Tarasov,-1.532
Jaryd Reese,-1.533
Petar Tomic,-1.536
Ziad Sultan,-1.547
Gino Delavalle,-1.555
Dawoud Kabli,-1.556
Arjun Watane,-1.560
Carlos do Val,-1.563
Andrew Cahn,-1.565
Felipe Wenzel,-1.576
TJ De Santo,-1.582
Alex Woldmoe,-1.585
Thomas Gans,-1.585
John Tougher,-1.591
Peter Dewitt,-1.593
Tyler Edin,-1.593
Jake De Vries,-1.594
Badr Ouabdelmoumen,-1.594
Zach Lessen,-1.597
Ian Clare,-1.597
Michael Elortegui,-1.601
Michael Sienko,-1.604
Akshay Verma,-1.610
Santiago Salazar,-1.611
Sanjay Goswamy,-1.612
Caio Niel,-1.614
T.J. Morgan,-1.630
Nate Shanok,-1.638
Bernardo Sanson,-1.639
Trevor Gotkowski,-1.642
Daniel Gray,-1.646
Ricky Saad,-1.648
Kasparas Zemaitelis,-1.652
Tony Russell,-1.654
Mario Noboa,-1.655
Cory Seltman,-1.656
Thomas Caputo,-1.656
Gabe Pansera,-1.662
Darius Mackenzie,-1.677
Joey Vatanadilok,-1.683
Ismael Lahlou,-1.692
Roberto Meza,-1.694
Diego Castano,-1.699
Anthony Tsodikov,-1.701
Ben Wood,-1.709
Nick Lang,-1.711
Adam Blasinsky,-1.711
Jason Proctor,-1.713
Maxi Branth,-1.721
Patrik Cvik,-1.731
Ryan Templet,-1.742
Rajanvir Dharni,-1.744
Christian Brockstedt,-1.744
Pol Giraldez,-1.747
Adam Chan,-1.747
Ryan Swanier,-1.751
Thomas Hulme,-1.754
Jorge Wilton,-1.760
Pierre Brondeau,-1.762
Kenzo Kauffmann,-1.767
Pat O'Neill,-1.771
James Aronson,-1.772
Lucas Bombonatti,-1.785
Gilbert Rotich,-1.788
Ming Lao,-1.792
Alex Tropiano,-1.795
Mischa Koran,-1.810
Max Phipps,-1.814
Sean Donohue,-1.820
Patrick Gaffigan,-1.823
Simon Cote,-1.829
Luis Albuquerque,-1.833
Parks Thompson,-1.835
Henry Adams,-1.839
Elliot Johnstone,-1.840
Charlie Parry,-1.843
Grant Thompson,-1.847
Joshua Baily,-1.848
Paul Cook,-1.854
Caleb Troy,-1.858
Alberto Tintoré,-1.866
August Waitman,-1.871
Christian Gonzalez,-1.875
Mitch Granger,-1.877
Nicholas Mitric,-1.878
Alec Wagner,-1.881
Sergio Avella,-1.883
Enrique Samudio,-1.885
Matthew Dean,-1.885
Louis-Philippe Gascon,-1.887
David Bergstrom,-1.891
Peter Molloy,-1.892
David Durham,-1.894
Yehia El Sallaly,-1.895
Szymon Opieczonek,-1.898
Vicente Varas,-1.899
Drew Dawson,-1.901
Billy Weldon,-1.914
Richard Sipala,-1.918
Mateus Moreira,-1.920
Evan Watkins,-1.920
Jordan Kuchta,-1.936
Plamen Avuski,-1.942
Tommy Marx,-1.944
Gus Orlando,-1.945
Matt Helm,-1.956
Mason Keel,-1.964
Xabier Saavedra,-1.965
Joakim Pinola,-1.971
Luke Ness,-1.971
Rodrigo Tico,-1.973
Ty Misialek,-1.976
Mackenzie Stearns,-1.977
John Schubel,-1.977
Ian Glessing,-1.985
Ryan Henderson,-1.990
Connor Oberle,-1.995
Kevin Wong,-2.003
Marko Minic,-2.005
Jake Lazer,-2.010
Carlos Waitman,-2.015
Nils Hallestrand,-2.017
Walker Hefferon,-2.017
Eric Schuemans,-2.018
Trey Crysel,-2.019
Patrick Downs,-2.021
Adam Levie,-2.025
Jordan Hart,-2.026
Eduardo Bringold,-2.034
Chris Matturri,-2.037
Matt Alderson,-2.040
Nicholas Sharwarko,-2.044
Milos Vukicevic,-2.046
Adam Schmidt,-2.049
Max Kane,-2.069
James Jackson,-2.071
Neal Port,-2.071
Daniel Grauel,-2.071
Phillip Raikovic,-2.077
Rares Ispas,-2.077
Joshua Rubinstein,-2.081
Guilherme Gesser,-2.087
Kelly Donaldson,-2.102
Timo Kranz,-2.104
Miljan Ruzic,-2.111
Francisco Del Valle,-2.116
Marcus Vizcarra,-2.121
Colin Buckley,-2.128
Jack McCullers,-2.128
Jackson Varney,-2.132
Aaron Madaris,-2.144
Hans Baumstark,-2.153
Matt Wagner,-2.160
Andrew Graham,-2.167
Niko Vulinovich,-2.172
Jett Cash,-2.175
Matthew Hutchinson,-2.188
Shane Jeffray,-2.193
Matt Phelps,-2.197
Paul Denele,-2.205
Eli Cerdan,-2.206
Ben Gerber,-2.206
Iago Seffrin,-2.208
James Mitchell,-2.212
Adam Salam,-2.212
Alex Woldmoe,-2.213
Greg Olesnycky,-2.215
Nolan Marks,-2.223
Jan Jirus,-2.244
Krishna Jana,-2.247
Matt Dunn,-2.247
Nikola Crvelin,-2.254
Balint Zsidai,-2.254
Marcus Nalley,-2.255
Lorenz Schwab,-2.258
Tim Abbraciamento,-2.260
Peter Bleach,-2.266
Rui Silva,-2.278
Ross Nigro,-2.284
Stephen Goldman,-2.288
Chris Jimenez,-2.291
Y. Dingles,-2.294
Luke Thompson,-2.296
Gonzalo Quintana,-2.298
Alex Howard,-2.301
Ronald Mataba,-2.304
Tyler Burnett,-2.308
Rok Sitar,-2.315
Rhys Richardson,-2.318
N/A Albuerquerque,-2.318
Morgan White,-2.324
Reid Burch,-2.327
Maurizio Feoli,-2.329
Justin Burrus,-2.335
Youssef Sherif,-2.337
Carlos Martinez,-2.343
Nacor Ibanez,-2.346
Jordan Loughnan,-2.347
Thais Minet,-2.349
Luis Gastao,-2.361
Jacob Rother,-2.365
William Szamosszegi,-2.367
Paul Domanski,-2.368
Willem van Biezen,-2.374
Iago Seffrin,-2.385
Oliver Poysti,-2.389
Ethan Ammon,-2.392
Tyler Tossavainen,-2.395
Bruno Russo,-2.398
Jacob Spreyer,-2.408
David Bush,-2.411
Emilio Teran,-2.414
Bradley Noyes,-2.414
Jose Zurro,-2.417
Robert Jenkins,-2.418
Jack Carney,-2.421
Daniel Bernal,-2.441
No Player,-2.445
Charlton Boyd,-2.452
Hari Rohan,-2.453
Valentin Horvat,-2.457
Henrik Munch,-2.460
Win Reynolds,-2.471
Kevin Gates,-2.479
Luke Synn,-2.492
Will True,-2.493
Nicholai Westergaard,-2.494
Andre Baldo,-2.507
Victor Blanco,-2.509
William Goldberg,-2.521
Daniel Populus,-2.524
Frenk Kote,-2.525
Jonathan Edwards,-2.534
Jamey Swiggart,-2.536
Karim Arem,-2.541
Luka Kaic,-2.544
Kyle Hairston,-2.544
Bassem El Makawi,-2.552
Todd Volmari,-2.552
Brody Rodriguez,-2.573
Mathieu Pilote-Schraenen,-2.574
Ruben Vanoppen,-2.574
Jack Haffey,-2.576
Peter Collins,-2.580
Kauai Linardi,-2.581
Justin Pagan,-2.582
Felix Ewers,-2.592
Doug Notaris,-2.598
Michael Rosengren,-2.602
Max Vogt,-2.616
Fredrik Bjerke,-2.620
Jordan Portner,-2.621
Octavio Canibe,-2.621
Danny Moyer,-2.626
Charles Baron,-2.629
Rob Buetti,-2.630
Fabian Woehrl,-2.646
Mike Standifer,-2.646
Christoffer Appelgren,-2.664
Braxton Bates,-2.670
Nikola Pavlovic,-2.676
James Chung,-2.678
Max Renke,-2.684
Marc Adams,-2.690
John Stormans,-2.693
Ismail Kadyrov,-2.693
Rui Silva,-2.693
Trevor Haskell,-2.698
David Hess,-2.706
Pablo Lopez,-2.712
Cassell King,-2.712
Jack Murphy,-2.714
Jalen Evans,-2.726
Ciaran Lavers,-2.728
Aidan Talcott,-2.728
Eric Sumanaru,-2.733
Jonny Higham,-2.740
Grant Maddox,-2.747
Chris Toner,-2.749
Hicham Belkssir,-2.760
Logan Walker,-2.766
Alberto Sanz-Fernandez,-2.766
No Player,-2.772
Brett Cabon,-2.781
Diogo Garnel,-2.782
Andres Estenssoro,-2.786
De'Sean Fennell,-2.791
Connor Leahy,-2.795
Ben Spencer,-2.801
Francis Nadeau,-2.826
Tanner Berkabile,-2.828
Daniel Loebel,-2.845
Andrew O'Connell,-2.849
Austin Kaplan,-2.855
Camilo Patino,-2.877
Daniel Martinez,-2.879
Joe Smithyman,-2.879
Ondre Cargill,-2.882
Nicholas Ramirez,-2.894
Evan Alexander,-2.895
Josh Ryan,-2.908
TJ Desanto,-2.910
Bruno Snyder,-2.914
A. Greig,-2.915
Kyle Burton,-2.919
Max Heerinckx,-2.931
Jarred Thompson,-2.932
Diego Venegas,-2.940
Will Cochrane,-2.954
Bryan Adams,-2.954
Nikhil Mannepalli,-2.959
Kashyap Ashok,-2.988
Ahmed Al-Shawafi,-2.994
Peter Salomon,-2.998
Brett Shriver,-3.003
Brooks Kendall,-3.004
Cameron Amyot,-3.004
Ryan Miller,-3.005
Mate Virag,-3.005
John Nogalski,-3.009
Nischay Rawal,-3.013
Nick Laub,-3.022
Laguna Foster,-3.024
Brian Power,-3.053
Jared Vigen,-3.058
David Constantinescu,-3.059
Mike Furr,-3.067
James Gray,-3.074
Sina Sharifi,-3.079
Lucas Vaz,-3.081
Jose Pestana,-3.081
Jay Joshi,-3.087
Erik Anderson,-3.088
Erick Ward,-3.089
Martin Bedecarratz,-3.094
Sajid Rahman,-3.094
Gabriel Tolesani,-3.097
Vinh Pham,-3.102
Fateh Singh,-3.106
Eric Pontow,-3.118
Dan Rombola,-3.120
Rob Alter,-3.132
Filip Stipcic,-3.138
Karlo Skvorc,-3.146
Chris Popso,-3.163
S Gonkstaris,-3.170
Manuel Belda,-3.190
Max McLean,-3.193
Orin Duffin,-3.204
Luke Thompson,-3.208
Ernesto Arguello,-3.214
Max Montague,-3.216
Daniel Gutierrez,-3.218
Max Peara,-3.221
Timber Erskine,-3.238
Jackson Lee,-3.240
Stephen Miller,-3.242
Alex Bosch,-3.247
George Tioutine,-3.256
Wacil Bendjelti,-3.286
Colin Hart,-3.297
Malik Norris,-3.301
Nicholas Whitehead,-3.320
Diego Asis,-3.321
No Player,-3.326
Zac McEntee,-3.326
Peter O'Donovan,-3.332
Daniel Hansen,-3.336
Cooper Bridge,-3.337
Dylan Karchere-Sun,-3.339
Tamina Kienka,-3.353
Igor Braga,-3.353
Carlos Tejas,-3.354
Terey Hackney,-3.359
Lawson Barter,-3.361
Andre Buchanan-Dempsey,-3.376
Romain Boudaroua,-3.381
Dylan Appel,-3.383
Steed Johnson,-3.391
Nicolas Butler,-3.396
Brian Balico,-3.407
Reginald Robinson,-3.419
Pavels Grigorjevs,-3.423
Jason Burgess,-3.425
Sebastien Mathieu,-3.439
William Jay,-3.449
Jackson Pride,-3.451
Peter Surovic,-3.459
Florian Uffer,-3.461
Calvin Ngo,-3.471
William Jones,-3.474
Daniel Bernal,-3.475
Devin Barber,-3.476
James McManus,-3.485
Brian Pinkard,-3.492
Charlie Volkwein,-3.495
Jabari Stafford,-3.502
Gabriel Pamich,-3.505
Vuk Vukovic,-3.506
Francese Terns,-3.512
Tim Puterio,-3.524
Garry Amor,-3.525
Conor Haughey,-3.529
Anthony Savio,-3.534
L. Sanchez,-3.542
Sam Flaxman,-3.549
Simon Jackermeier,-3.568
Othen Lima,-3.580
Thomas Persico,-3.588
Paul John,-3.595
Evan Ward,-3.597
Digvijay Naruka,-3.620
Dreshaun Jarmon,-3.620
Freddy Quintero,-3.630
Leonardo Vieira,-3.633
Leo Pires,-3.639
Karan Narula,-3.670
Oliver Dedding,-3.672
Austin Racine,-3.674
Jan Dernic,-3.689
Rendelle Burghart,-3.699
Jorge Rodriguez,-3.708
Tom Haile,-3.724
Johan Samuelsson,-3.731
Rohan Wattley,-3.743
William Jou,-3.759
Tim Corwin,-3.774
Troy Benson,-3.779
Jared Woodson,-3.780
William Elmore,-3.783
Kiran Mani,-3.784
Diego Lebron,-3.785
Vishu Prasad,-3.787
Luke Lemieux,-3.791
Brian Stefanowicz,-3.807
Sunay Bhat,-3.809
Anirudh Yadav,-3.809
Jacob Mishkin,-3.814
Alex Romaine,-3.815
Stuart Macleod,-3.826
Brent Wheeler,-3.841
Matt Renzi,-3.859
Paarth Dodhiawala,-3.860
Fedor Shirin,-3.865
James McQueen,-3.865
M. Monray,-3.866
John Wilson IV,-3.873
Jonathan Dingle,-3.874
John Peacey,-3.878
Nico De Fraia,-3.897
Stefan Vojnic,-3.898
Pedro Wagner,-3.904
Daryl Hale,-3.904
Chris Cole,-3.907
Brandon Goldstein,-3.912
Matt Pronesti,-3.917
Sean Frebes,-3.920
Gary Faulcon,-3.926
JJ Tauil,-3.932
Dario Rios,-3.940
Juan Alanis,-3.959
Austin Mayo,-3.969
Gary Notkin,-3.971
Josh Goodwin,-3.992
Jose Zamorano,-3.996
Eduardo Martinez,-3.996
