rk,player,team,str
196,Emily Zabor,University of Alabama,66.73
197,Alexandra Stanova,"University of Maryland, College Park",65.02
198,Caitlyn Williams,University of Tennessee,64.94
199,Johanna Hyoty,Boston University,64.84
200,Lauren Chypyha,"University of Wisconsin, Madison",64.44
201,Zoë Katz,University of Southern California,63.18
202,Marcelina Cichon,University of Tulsa,62.72
203,Miriam Rosell-Canudas,Univ. of Texas at San Antonio,62.54
204,Lyn Yee Choo,East Tennessee State University,61.82
205,Theresa Van Zyl,Baylor University,60.79
206,Cassandra Vazquez,North Carolina,60.64
207,Maria Biryukova,Washington State University,60.58
208,Manuela Velasquez,University of Louisville,60.44
209,Renee Villarreal,Southeastern Louisiana University,60.03
210,Stephanie Vlad,Arizona State University,59.83
211,Savannah Durkin,Rice University,59.57
212,Ebony Panoho,Arizona State University,59.31
213,Rebeca Mitrea,DePaul University,59.25
214,Marika Akkerman,North Carolina,59.08
215,Silvia Fuentes,University of Miami (Florida),58.97
216,Kimberly Surin,Penn State University,58.67
217,Sydney Liggins,Xavier University,58.48
218,Kerrie Cartwright,Florida State University,58.38
219,Maria Alvarez,Oklahoma State University,58.12
220,Tiffany William,Middle Tennessee State University,57.53
221,Valeria Salazar Garza,Syracuse University,56.81
222,Ryann Foster,University of Texas at Austin,56.02
223,Tina Jiang,Columbia University,55.75
224,Jasmin Kling,DePaul University,55.53
225,Amanda Muliawan,Princeton University,54.85
226,Briar Preston,University of Arizona,53.49
227,Anna Sanford,Ohio State University,53.05
228,Marketa Placha,Charleston Southern University,52.93
229,Eve Repic,University of Tennessee,52.65
230,Megan Kurey,Georgia Tech,52.25
231,Andrea Eskauriatza,Murray State University,52.10
232,Kristina Mathis,Dartmouth College,52.09
233,Abby Stevens,Wichita State University,51.60
234,Tamitha Nguyen,San Diego State University,51.47
235,Ratnika Batra,University of Texas at Austin,51.25
236,Gabriella DeSimone,University of Southern California,51.11
237,Eva Paalma,Texas A&M University,50.98
238,Julie Gerard,Long Beach State University,50.94
239,Yolimar Ogando,University of Miami (Florida),50.89
240,Giulia Guidetti,Wichita State University,50.60
241,Mary Closs,University of Notre Dame,50.39
242,Kendal Woodard,Georgia Tech,48.91
243,Hannah Camhi,Brown University,48.46
244,Alyza Benotto,Brown University,47.76
245,Amanda Rodgers,Syracuse University,47.47
246,Alexis Casati,University of Illinois,47.34
247,Ashley Dai,North Carolina,47.06
248,Victoria Olivarez,University of Tennessee,46.95
249,Jennifer Brown,Mississippi State University,46.50
250,Darya Shulzhanok,Middle Tennessee State University,45.21
251,Lexi Baylis,Michigan State University,45.03
252,Samantha Asch,Wake Forest University,44.71
253,Amandine Faouzi,Eastern Kentucky University,44.55
254,Erin Stephens,University of Mississippi,44.43
255,Ximena Siles Luna,University of South Carolina,44.41
256,Derya Turhan,Marshall University,44.33
257,Alexandra Starkova,Louisiana Tech University,44.08
258,Carlotta Orlando,Florida International University (FIU),43.79
259,Spencer Liang,University of Florida,43.43
260,Elianne Douglas-Miron,University of Washington,43.33
261,Ingrid Vojcinakova,Old Dominion University,43.10
262,Danielle Flores,Saint Mary's College of California,42.85
263,Melissa Kopinski,University of Illinois,42.34
264,Kelli Hine,"Univ. of Missouri, Columbia",42.21
265,Simran Sethi,University of Oklahoma,42.15
266,Brigit Folland,University of South Carolina,42.00
267,Marie Faure,University of Virginia,41.97
268,Mayci Jones,Brigham Young University,41.77
269,Abbi Melrose,University of Oklahoma,41.50
